pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_25445_/Y,69442,51435,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_25445_,_06203_,1.1431851992815822e-11,5.122793855782959e-10,7.28273497063725e-10,7.384102773677625e-10,-1
_25446_/A1,62451,67113,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25446_,_05835_,1.7513221775566912e-11,9.436669223816807e-10,2.558107337069515e-10,2.538003973651115e-10,6.108139871107972e-16
_25446_/A2,62505,67113,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25446_,_05906_,1.6583800305225438e-11,4.207885151430446e-10,7.79654563132226e-10,7.860602169174058e-10,6.495910495569806e-16
_25446_/B1,62613,67113,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25446_,_05972_,1.8639551707666513e-11,4.892252714050471e-10,6.832960308678082e-10,7.226897413836753e-10,5.632029533599026e-16
_25446_/B2,62551,67061,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25446_,_02120_,2.9432518922067885e-11,9.622372898476783e-10,2.371589868932489e-10,2.347913807820845e-10,6.182060436414854e-16
_25446_/Y,62245,67095,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_25446_,_06204_,8.908962977061119e-12,4.2078857065419584e-10,7.990710870764417e-10,8.064792167417068e-10,-1
_25447_/A1,62883,62793,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25447_,_02211_,3.853237520723418e-11,9.540461753942964e-10,2.4229135364706167e-10,2.4003754539592137e-10,6.108139871107972e-16
_25447_/A2,62937,62793,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25447_,_06055_,1.830975995820161e-11,4.186764268609977e-10,7.829508152923381e-10,7.893236619871402e-10,6.495910495569806e-16
_25447_/B1,63045,62793,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25447_,_06056_,1.6102705974185838e-11,4.710032364130257e-10,7.028879700499147e-10,7.425574599650986e-10,5.632029533599026e-16
_25447_/B2,62983,62741,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25447_,_02148_,4.252921625980122e-11,9.526637256840331e-10,2.467132886874168e-10,2.442245017331146e-10,6.182060436414854e-16
_25447_/Y,62677,62775,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_25447_,_06205_,6.903846418160331e-12,4.186764268609977e-10,8.013769647874369e-10,8.086429303943987e-10,-1
