src,tar,src_type,tar_type,is_net,arc_delay
_1001_/A,_1001_/Y,pin,pin,0,3.11610459657885e-11
_1001_/B,_1001_/Y,pin,pin,0,2.8536849966398492e-11
_10020_/A,_10020_/Y,pin,pin,0,1.7615461173070557e-11
_10020_/B,_10020_/Y,pin,pin,0,1.6104180489140418e-11
_10021_/A,_10021_/Y,pin,pin,0,1.87762323050622e-11
_10021_/B,_10021_/Y,pin,pin,0,1.8084665709405812e-11
_10022_/A1,_10022_/Y,pin,pin,0,3.3733741494623715e-11
_10022_/A2,_10022_/Y,pin,pin,0,2.2154540355034946e-11
_10022_/B1,_10022_/Y,pin,pin,0,3.5838644552033116e-11
_10022_/B2,_10022_/Y,pin,pin,0,2.1787040921372736e-11
_10022_/C,_10022_/Y,pin,pin,0,2.164164854268069e-11
_10023_/A1,_10023_/Y,pin,pin,0,3.376573673441463e-11
_10023_/A2,_10023_/Y,pin,pin,0,2.4196764383810354e-11
_10023_/B1,_10023_/Y,pin,pin,0,3.0183886640111623e-11
_10023_/B2,_10023_/Y,pin,pin,0,2.3527558373759305e-11
_10023_/C,_10023_/Y,pin,pin,0,2.316472187680052e-11
_10024_/A1,_10024_/Y,pin,pin,0,2.7817713410538403e-11
_10024_/A2,_10024_/Y,pin,pin,0,2.5463414363158243e-11
_10024_/B1,_10024_/Y,pin,pin,0,3.6846883183505597e-11
_10024_/B2,_10024_/Y,pin,pin,0,2.50918591460092e-11
_10024_/C,_10024_/Y,pin,pin,0,2.4249904168049952e-11
_10025_/A1,_10025_/Y,pin,pin,0,3.0505913767298054e-11
_10025_/A2,_10025_/Y,pin,pin,0,2.2863013565688206e-11
_10025_/B1,_10025_/Y,pin,pin,0,3.227849237896763e-11
_10025_/B2,_10025_/Y,pin,pin,0,2.2491978765581955e-11
_10025_/C,_10025_/Y,pin,pin,0,2.1767304972386547e-11
_10026_/A1,_10026_/Y,pin,pin,0,3.2083582318653825e-11
_10026_/A2,_10026_/Y,pin,pin,0,2.073349998632512e-11
_10026_/B1,_10026_/Y,pin,pin,0,3.3300792678936375e-11
_10026_/B2,_10026_/Y,pin,pin,0,2.0360286373533043e-11
_10026_/C,_10026_/Y,pin,pin,0,2.012672147000405e-11
_10027_/A,_10027_/Y,pin,pin,0,1.9552385752130697e-11
_10027_/B,_10027_/Y,pin,pin,0,1.7856259873494373e-11
_10028_/A,_10028_/Y,pin,pin,0,2.0128142208530875e-11
_10028_/B,_10028_/Y,pin,pin,0,2.0841401521254355e-11
_10029_/A1,_10029_/Y,pin,pin,0,2.354777484114834e-11
_10029_/A2,_10029_/Y,pin,pin,0,2.0537646236440388e-11
_10029_/B1,_10029_/Y,pin,pin,0,3.147374721956808e-11
_10029_/B2,_10029_/Y,pin,pin,0,1.9995977096343154e-11
_10029_/C,_10029_/Y,pin,pin,0,1.9302302811663452e-11
_1002_/A,_1002_/Y,pin,pin,0,3.165236822644246e-11
_1002_/B,_1002_/Y,pin,pin,0,3.402640669225576e-11
_10030_/A1,_10030_/Y,pin,pin,0,3.8026706783433895e-11
_10030_/A2,_10030_/Y,pin,pin,0,2.31131867117762e-11
_10030_/B1,_10030_/Y,pin,pin,0,3.266392017975406e-11
_10030_/B2,_10030_/Y,pin,pin,0,2.2682439260179876e-11
_10030_/C,_10030_/Y,pin,pin,0,2.2179841296932068e-11
_10031_/A1,_10031_/Y,pin,pin,0,3.315282770532946e-11
_10031_/A2,_10031_/Y,pin,pin,0,2.294512149725314e-11
_10031_/B1,_10031_/Y,pin,pin,0,3.063288164795175e-11
_10031_/B2,_10031_/Y,pin,pin,0,2.2392466353382545e-11
_10031_/C,_10031_/Y,pin,pin,0,2.2104238578402047e-11
_10032_/A1,_10032_/Y,pin,pin,0,3.6735958025557736e-11
_10032_/A2,_10032_/Y,pin,pin,0,2.485518735273473e-11
_10032_/B1,_10032_/Y,pin,pin,0,3.484679905740862e-11
_10032_/B2,_10032_/Y,pin,pin,0,2.4310014071216024e-11
_10032_/C,_10032_/Y,pin,pin,0,2.3963888165501324e-11
_10033_/A,_10033_/Y,pin,pin,0,1.9356724556551796e-11
_10033_/B,_10033_/Y,pin,pin,0,1.8005257007569497e-11
_10034_/A,_10034_/Y,pin,pin,0,1.7078860894970127e-11
_10034_/B,_10034_/Y,pin,pin,0,1.5978843248554142e-11
_10035_/A1,_10035_/Y,pin,pin,0,3.681891944107285e-11
_10035_/A2,_10035_/Y,pin,pin,0,2.484423604343089e-11
_10035_/B1,_10035_/Y,pin,pin,0,3.492980904518106e-11
_10035_/B2,_10035_/Y,pin,pin,0,2.452308321687635e-11
_10035_/C,_10035_/Y,pin,pin,0,2.3851622066306533e-11
_10036_/A1,_10036_/Y,pin,pin,0,2.6751790019319266e-11
_10036_/A2,_10036_/Y,pin,pin,0,2.425193552924032e-11
_10036_/B1,_10036_/Y,pin,pin,0,2.935846704632539e-11
_10036_/B2,_10036_/Y,pin,pin,0,2.383110375703268e-11
_10036_/C,_10036_/Y,pin,pin,0,2.297945167484272e-11
_10037_/A1,_10037_/Y,pin,pin,0,2.3939969798214555e-11
_10037_/A2,_10037_/Y,pin,pin,0,2.0932117150707086e-11
_10037_/B1,_10037_/Y,pin,pin,0,3.210453430879667e-11
_10037_/B2,_10037_/Y,pin,pin,0,2.0436208281182644e-11
_10037_/C,_10037_/Y,pin,pin,0,1.96827901199903e-11
_10038_/A,_10038_/Y,pin,pin,0,2.047265829085987e-11
_10038_/B,_10038_/Y,pin,pin,0,2.1711667186341543e-11
_10039_/A1,_10039_/Y,pin,pin,0,3.499809123064246e-11
_10039_/A2,_10039_/Y,pin,pin,0,2.0238368272917917e-11
_10039_/B1,_10039_/Y,pin,pin,0,3.388350017230479e-11
_10039_/B2,_10039_/Y,pin,pin,0,1.981474533063743e-11
_10039_/C,_10039_/Y,pin,pin,0,1.955688215538043e-11
_1003_/A,_1003_/Y,pin,pin,0,2.2976721220091534e-11
_1003_/B,_1003_/Y,pin,pin,0,3.103741569310259e-11
_10040_/A1,_10040_/Y,pin,pin,0,2.8235367169338055e-11
_10040_/A2,_10040_/Y,pin,pin,0,1.5934654637450585e-11
_10040_/B1,_10040_/Y,pin,pin,0,1.874664486145594e-11
_10040_/B2,_10040_/Y,pin,pin,0,1.5548069776105677e-11
_10040_/C,_10040_/Y,pin,pin,0,1.47214254675454e-11
_10041_/A1,_10041_/Y,pin,pin,0,3.376882454220187e-11
_10041_/A2,_10041_/Y,pin,pin,0,2.1914773815079336e-11
_10041_/B1,_10041_/Y,pin,pin,0,2.8150540926086265e-11
_10041_/B2,_10041_/Y,pin,pin,0,2.1456187521140535e-11
_10041_/C,_10041_/Y,pin,pin,0,2.1104793260229293e-11
_10042_/A,_10042_/Y,pin,pin,0,1.7635040996943907e-11
_10042_/B,_10042_/Y,pin,pin,0,1.6663937590921662e-11
_10043_/A,_10043_/Y,pin,pin,0,1.6398138055762068e-11
_10043_/B,_10043_/Y,pin,pin,0,1.4463265654574009e-11
_10044_/A1,_10044_/Y,pin,pin,0,3.251174676699442e-11
_10044_/A2,_10044_/Y,pin,pin,0,2.1042525361059106e-11
_10044_/B1,_10044_/Y,pin,pin,0,3.408762161427603e-11
_10044_/B2,_10044_/Y,pin,pin,0,2.0450093007884362e-11
