cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
_17668_,0,0,0,67662,102330,67932,102600,0,0,0,AOI21xp33_ASAP7_75t_R,2.357427100752041e-11,1.9727357636883252e-16
_17669_,0,0,0,66150,103680,66420,103950,0,0,0,AOI21xp33_ASAP7_75t_R,2.3378266336693265e-11,2.5611065540704356e-16
_1766_,0,0,0,82728,38610,83052,38880,0,0,0,NAND4xp25_ASAP7_75t_R,1.8051068972901874e-10,1.4909186740461516e-16
_17670_,0,0,0,68094,103950,68364,104220,0,0,0,AOI21xp33_ASAP7_75t_R,2.3377685204328813e-11,2.230118371414569e-16
_17671_,0,0,0,67932,103140,68202,103410,0,0,0,AOI21xp33_ASAP7_75t_R,2.337482811476388e-11,2.236671230052765e-16
_17672_,0,0,0,67608,102600,67878,102870,0,0,0,AOI21xp33_ASAP7_75t_R,2.3372028271073653e-11,2.2227603020808894e-16
_17673_,0,0,0,63396,101250,63666,101520,0,0,0,AOI21xp33_ASAP7_75t_R,2.3379000124723603e-11,2.6548725719358947e-16
_17674_,0,0,0,66960,103680,67230,103950,0,0,0,AOI21xp33_ASAP7_75t_R,2.337856644385461e-11,2.269319850306886e-16
_17675_,0,0,0,63504,98820,63774,99090,0,0,0,AOI21xp33_ASAP7_75t_R,2.418324915320902e-11,2.1046583658963243e-16
_17676_,0,0,0,67446,101250,67986,101520,0,0,0,AOI222xp33_ASAP7_75t_R,3.4868476161964423e-11,2.877208926771696e-16
_17677_,0,0,0,66366,100980,66906,101250,0,0,0,AOI222xp33_ASAP7_75t_R,3.5097924566684924e-11,2.804878136427691e-16
_17678_,0,0,0,65394,102060,65934,102330,0,0,0,AOI222xp33_ASAP7_75t_R,3.48827251805961e-11,3.155201169593617e-16
_17679_,0,0,0,67878,81000,68148,81270,0,0,0,OAI21xp33_ASAP7_75t_R,1.878169668401153e-11,3.386813064597445e-16
_1767_,0,0,0,84510,70470,84834,70740,0,0,0,NAND4xp25_ASAP7_75t_R,1.7869587753960303e-10,3.77196926892802e-16
_17680_,0,0,0,69552,77760,69822,78030,0,0,0,OAI21xp33_ASAP7_75t_R,1.884457520584526e-11,3.646365135459844e-16
_17681_,0,0,0,68202,80460,68472,80730,0,0,0,OAI21xp33_ASAP7_75t_R,1.8852225336374318e-11,3.5554515010442636e-16
_17682_,0,0,0,67770,78840,68040,79110,0,0,0,OAI21xp33_ASAP7_75t_R,1.8848965790962957e-11,3.4802294166743654e-16
_17683_,0,0,0,68202,82080,68472,82350,0,0,0,OAI21xp33_ASAP7_75t_R,1.8852093497390143e-11,3.495605976342787e-16
_17684_,0,0,0,69336,77490,69606,77760,0,0,0,OAI21xp33_ASAP7_75t_R,1.8840382379203824e-11,3.733332390434607e-16
