src,tar,src_type,tar_type
_121000_/CON,_000035_,pin,net
_000035_,_085260_/A,net,pin
_000035_,_085144_/A2,net,pin
_000035_,_085063_/B,net,pin
_127509_/SN,_000036_,pin,net
_000036_,_085122_/A,net,pin
_000036_,_085114_/A2,net,pin
_000036_,_085113_/B,net,pin
_000036_,_085097_/A,net,pin
_127508_/CON,_000037_,pin,net
_000037_,_085114_/A1,net,pin
_000037_,_085103_/B,net,pin
_127510_/SN,_000038_,pin,net
_000038_,_085112_/A,net,pin
_127509_/CON,_000039_,pin,net
_000039_,_085134_/A1,net,pin
_000039_,_085114_/B,net,pin
_127511_/SN,_000040_,pin,net
_000040_,_085163_/A,net,pin
_000040_,_085151_/A2,net,pin
_000040_,_085147_/B,net,pin
_000040_,_085132_/A,net,pin
_127510_/CON,_000041_,pin,net
_000041_,_085151_/A1,net,pin
_000041_,_085134_/B,net,pin
_127512_/SN,_000042_,pin,net
_000042_,_085177_/A,net,pin
_000042_,_085167_/A2,net,pin
_000042_,_085163_/B,net,pin
_000042_,_085155_/B,net,pin
_000042_,_085154_/B,net,pin
_127511_/CON,_000043_,pin,net
_000043_,_085167_/A1,net,pin
_000043_,_085151_/B,net,pin
_127513_/SN,_000044_,pin,net
_000044_,_085190_/A,net,pin
_000044_,_085179_/A2,net,pin
_000044_,_085177_/B,net,pin
_000044_,_085166_/A,net,pin
_127512_/CON,_000045_,pin,net
_000045_,_085179_/A1,net,pin
_000045_,_085167_/B,net,pin
_127514_/SN,_000046_,pin,net
_000046_,_085210_/A,net,pin
_000046_,_085197_/A2,net,pin
_000046_,_085190_/B,net,pin
_000046_,_085175_/A,net,pin
_127513_/CON,_000047_,pin,net
_000047_,_085197_/A1,net,pin
_000047_,_085179_/B,net,pin
_127515_/SN,_000048_,pin,net
_000048_,_085218_/A,net,pin
_000048_,_085211_/A2,net,pin
_000048_,_085210_/B,net,pin
_000048_,_085204_/A1,net,pin
_000048_,_085203_/A1,net,pin
_127514_/CON,_000049_,pin,net
_000049_,_085211_/A1,net,pin
_000049_,_085197_/B,net,pin
_127516_/SN,_000050_,pin,net
_000050_,_085238_/A2,net,pin
_000050_,_085231_/B,net,pin
_000050_,_085219_/A2,net,pin
_000050_,_085218_/B,net,pin
_000050_,_085209_/A,net,pin
_127515_/CON,_000051_,pin,net
_000051_,_085219_/A1,net,pin
_000051_,_085211_/B,net,pin
_127517_/SN,_000052_,pin,net
_000052_,_085246_/A,net,pin
_000052_,_085239_/A2,net,pin
_000052_,_085231_/C,net,pin
_000052_,_085222_/B,net,pin
_000052_,_085221_/A,net,pin
_127516_/CON,_000053_,pin,net
_000053_,_085238_/B,net,pin
_000053_,_085219_/B,net,pin
_127518_/SN,_000054_,pin,net
_000054_,_085246_/B,net,pin
_000054_,_085229_/A,net,pin
_127517_/CON,_000055_,pin,net
_000055_,_085249_/A,net,pin
_000055_,_085239_/B,net,pin
_127518_/CON,_000056_,pin,net
_000056_,_085250_/A,net,pin
_127521_/SN,_000057_,pin,net
_000057_,_084705_/B,net,pin
_127522_/SN,_000058_,pin,net
_000058_,_084706_/A1,net,pin
_000058_,_084705_/A,net,pin
_000058_,_084679_/A,net,pin
_127521_/CON,_000059_,pin,net
_000059_,_084706_/A2,net,pin
_127523_/SN,_000060_,pin,net
_000060_,_084742_/A,net,pin
_000060_,_084709_/A,net,pin
_000060_,_084682_/A2,net,pin
_000060_,_084681_/A,net,pin
_127522_/CON,_000061_,pin,net
_000061_,_084706_/B,net,pin
_000061_,_084682_/A1,net,pin
_127524_/SN,_000062_,pin,net
_000062_,_084892_/A1,net,pin
_000062_,_084740_/A,net,pin
_000062_,_084715_/A2,net,pin
_000062_,_084709_/B,net,pin
_000062_,_084684_/A,net,pin
_127523_/CON,_000063_,pin,net
_000063_,_084715_/A1,net,pin
_000063_,_084682_/B,net,pin
_127525_/SN,_000064_,pin,net
_000064_,_084895_/B,net,pin
_000064_,_084708_/A,net,pin
_000064_,_084687_/A2,net,pin
_000064_,_084684_/B,net,pin
_127524_/CON,_000065_,pin,net
_000065_,_084715_/B,net,pin
_000065_,_084687_/A1,net,pin
_127526_/SN,_000066_,pin,net
_000066_,_084899_/A,net,pin
_000066_,_084716_/A2,net,pin
_000066_,_084708_/B,net,pin
_000066_,_084685_/A,net,pin
_127525_/CON,_000067_,pin,net
_000067_,_084716_/A1,net,pin
_000067_,_084687_/B,net,pin
_127527_/SN,_000068_,pin,net
_000068_,_084711_/A,net,pin
_000068_,_084689_/A,net,pin
_000068_,_084685_/B,net,pin
_127526_/CON,_000069_,pin,net
_000069_,_084716_/B,net,pin
_000069_,_084688_/A,net,pin
_127528_/SN,_000070_,pin,net
_000070_,_084910_/A1,net,pin
_000070_,_084909_/A1,net,pin
_000070_,_084718_/A,net,pin
_000070_,_084711_/B,net,pin
_000070_,_084694_/A,net,pin
_127527_/CON,_000071_,pin,net
_000071_,_084690_/A,net,pin
_127529_/SN,_000072_,pin,net
_000072_,_084917_/A1,net,pin
_000072_,_084916_/A1,net,pin
_000072_,_084710_/A,net,pin
_000072_,_084696_/A,net,pin
_000072_,_084694_/B,net,pin
_127528_/CON,_000073_,pin,net
_000073_,_084695_/A,net,pin
_127530_/SN,_000074_,pin,net
_000074_,_084729_/A,net,pin
_000074_,_084720_/A2,net,pin
_000074_,_084710_/B,net,pin
_000074_,_084701_/A1,net,pin
_000074_,_084700_/A1,net,pin
_127529_/CON,_000075_,pin,net
_000075_,_084720_/A1,net,pin
_000075_,_084697_/A,net,pin
_121001_/CON,_000076_,pin,net
_000076_,_084881_/A,net,pin
_000076_,_084760_/A2,net,pin
_000076_,_084680_/B,net,pin
_127531_/SN,_000077_,pin,net
_000077_,_084737_/A,net,pin
_000077_,_084730_/A2,net,pin
_000077_,_084729_/B,net,pin
_000077_,_084714_/A,net,pin
_127530_/CON,_000078_,pin,net
_000078_,_084730_/A1,net,pin
_000078_,_084720_/B,net,pin
_127532_/SN,_000079_,pin,net
_000079_,_084728_/A,net,pin
_127531_/CON,_000080_,pin,net
_000080_,_084749_/A1,net,pin
_000080_,_084730_/B,net,pin
_127533_/SN,_000081_,pin,net
_000081_,_084781_/A,net,pin
_000081_,_084767_/A2,net,pin
_000081_,_084763_/B,net,pin
_000081_,_084747_/A,net,pin
_127532_/CON,_000082_,pin,net
_000082_,_084767_/A1,net,pin
_000082_,_084749_/B,net,pin
_127534_/SN,_000083_,pin,net
_000083_,_084794_/A,net,pin
_000083_,_084785_/A2,net,pin
_000083_,_084781_/B,net,pin
_000083_,_084771_/B,net,pin
_000083_,_084770_/B,net,pin
_127533_/CON,_000084_,pin,net
