src,tar,src_type,tar_type
_073186_/A,_073186_,pin,cell
_073186_,_073186_/Y,cell,pin
_073187_/A,_073187_,pin,cell
_073187_,_073187_/Y,cell,pin
_073188_/A,_073188_,pin,cell
_073188_,_073188_/Y,cell,pin
_073189_/A,_073189_,pin,cell
_073189_,_073189_/Y,cell,pin
_073190_/A,_073190_,pin,cell
_073190_,_073190_/Y,cell,pin
_073191_/A,_073191_,pin,cell
_073191_,_073191_/Y,cell,pin
_073192_/A,_073192_,pin,cell
_073192_,_073192_/Y,cell,pin
_073193_/A,_073193_,pin,cell
_073193_,_073193_/Y,cell,pin
_073194_/A,_073194_,pin,cell
_073194_,_073194_/Y,cell,pin
_073195_/A,_073195_,pin,cell
_073195_,_073195_/Y,cell,pin
_073196_/A,_073196_,pin,cell
_073196_,_073196_/Y,cell,pin
_073197_/A,_073197_,pin,cell
_073197_,_073197_/Y,cell,pin
_073198_/A,_073198_,pin,cell
_073198_,_073198_/Y,cell,pin
_073199_/A,_073199_,pin,cell
_073199_,_073199_/Y,cell,pin
_073200_/A,_073200_,pin,cell
_073200_,_073200_/Y,cell,pin
_073201_/A,_073201_,pin,cell
_073201_,_073201_/Y,cell,pin
_073202_/A,_073202_,pin,cell
_073202_,_073202_/Y,cell,pin
_073203_/A,_073203_,pin,cell
_073203_,_073203_/Y,cell,pin
_073204_/A,_073204_,pin,cell
_073204_,_073204_/Y,cell,pin
_073205_/A,_073205_,pin,cell
_073205_,_073205_/Y,cell,pin
_073206_/A,_073206_,pin,cell
_073206_,_073206_/Y,cell,pin
_073207_/A,_073207_,pin,cell
_073207_,_073207_/Y,cell,pin
_073208_/A,_073208_,pin,cell
_073208_,_073208_/Y,cell,pin
_073209_/A,_073209_,pin,cell
_073209_,_073209_/Y,cell,pin
_073210_/A,_073210_,pin,cell
_073210_,_073210_/Y,cell,pin
_073211_/A,_073211_,pin,cell
_073211_,_073211_/Y,cell,pin
_073212_/A,_073212_,pin,cell
_073212_,_073212_/Y,cell,pin
_073213_/A,_073213_,pin,cell
_073213_,_073213_/Y,cell,pin
_073214_/A,_073214_,pin,cell
_073214_,_073214_/Y,cell,pin
_073215_/A,_073215_,pin,cell
_073215_,_073215_/Y,cell,pin
_073216_/A,_073216_,pin,cell
_073216_,_073216_/Y,cell,pin
_073217_/A,_073217_,pin,cell
_073217_,_073217_/Y,cell,pin
_073218_/A,_073218_,pin,cell
_073218_,_073218_/Y,cell,pin
_073219_/A,_073219_,pin,cell
_073219_,_073219_/Y,cell,pin
_073220_/A,_073220_,pin,cell
_073220_,_073220_/Y,cell,pin
_073221_/A,_073221_,pin,cell
_073221_,_073221_/Y,cell,pin
_073222_/A,_073222_,pin,cell
_073222_,_073222_/Y,cell,pin
_073223_/A,_073223_,pin,cell
_073223_,_073223_/Y,cell,pin
_073224_/A,_073224_,pin,cell
_073224_,_073224_/Y,cell,pin
_073225_/A,_073225_,pin,cell
_073225_,_073225_/Y,cell,pin
_073226_/A,_073226_,pin,cell
_073226_,_073226_/Y,cell,pin
_073227_/A,_073227_,pin,cell
_073227_,_073227_/Y,cell,pin
_073228_/A,_073228_,pin,cell
_073228_,_073228_/Y,cell,pin
_073229_/A,_073229_,pin,cell
_073229_,_073229_/Y,cell,pin
_073230_/A,_073230_,pin,cell
_073230_,_073230_/Y,cell,pin
_073231_/A,_073231_,pin,cell
_073231_,_073231_/Y,cell,pin
_073232_/A,_073232_,pin,cell
_073232_,_073232_/Y,cell,pin
_073233_/A,_073233_,pin,cell
_073233_,_073233_/Y,cell,pin
_073234_/A,_073234_,pin,cell
_073234_,_073234_/Y,cell,pin
_073235_/A,_073235_,pin,cell
_073235_,_073235_/Y,cell,pin
_073236_/A,_073236_,pin,cell
_073236_,_073236_/Y,cell,pin
_073237_/A,_073237_,pin,cell
_073237_,_073237_/Y,cell,pin
_073238_/A,_073238_,pin,cell
_073238_,_073238_/Y,cell,pin
_073239_/A,_073239_,pin,cell
_073239_,_073239_/Y,cell,pin
_073240_/A,_073240_,pin,cell
_073240_,_073240_/Y,cell,pin
_073241_/A,_073241_,pin,cell
