src,tar,src_type,tar_type
_083129_,_083129_/ZN,cell,pin
_083130_/A1,_083130_,pin,cell
_083130_/A2,_083130_,pin,cell
_083130_,_083130_/ZN,cell,pin
_083131_/A,_083131_,pin,cell
_083131_,_083131_/Z,cell,pin
_083132_/A,_083132_,pin,cell
_083132_,_083132_/Z,cell,pin
_083133_/A,_083133_,pin,cell
_083133_,_083133_/Z,cell,pin
_083134_/A,_083134_,pin,cell
_083134_,_083134_/Z,cell,pin
_083135_/A,_083135_,pin,cell
_083135_,_083135_/Z,cell,pin
_083136_/A,_083136_,pin,cell
_083136_,_083136_/ZN,cell,pin
_083137_/A,_083137_,pin,cell
_083137_,_083137_/Z,cell,pin
_083138_/A,_083138_,pin,cell
_083138_,_083138_/ZN,cell,pin
_083139_/A1,_083139_,pin,cell
_083139_/A2,_083139_,pin,cell
_083139_/A3,_083139_,pin,cell
_083139_,_083139_/ZN,cell,pin
_083140_/A,_083140_,pin,cell
_083140_,_083140_/Z,cell,pin
_083141_/A,_083141_,pin,cell
_083141_,_083141_/Z,cell,pin
_083142_/A,_083142_,pin,cell
_083142_,_083142_/Z,cell,pin
_083143_/A,_083143_,pin,cell
_083143_,_083143_/Z,cell,pin
_083144_/A,_083144_,pin,cell
_083144_,_083144_/Z,cell,pin
_083145_/A,_083145_,pin,cell
_083145_,_083145_/ZN,cell,pin
_083146_/A,_083146_,pin,cell
_083146_,_083146_/Z,cell,pin
_083147_/A,_083147_,pin,cell
_083147_,_083147_/ZN,cell,pin
_083148_/A1,_083148_,pin,cell
_083148_/A2,_083148_,pin,cell
_083148_/A3,_083148_,pin,cell
_083148_,_083148_/ZN,cell,pin
_083149_/A,_083149_,pin,cell
_083149_,_083149_/Z,cell,pin
_083150_/A,_083150_,pin,cell
_083150_,_083150_/Z,cell,pin
_083151_/A,_083151_,pin,cell
_083151_,_083151_/Z,cell,pin
_083152_/A,_083152_,pin,cell
_083152_,_083152_/Z,cell,pin
_083153_/A,_083153_,pin,cell
_083153_,_083153_/Z,cell,pin
_083154_/A,_083154_,pin,cell
_083154_,_083154_/ZN,cell,pin
_083155_/A,_083155_,pin,cell
_083155_,_083155_/Z,cell,pin
_083156_/A,_083156_,pin,cell
_083156_,_083156_/ZN,cell,pin
_083157_/A1,_083157_,pin,cell
_083157_/A2,_083157_,pin,cell
_083157_/A3,_083157_,pin,cell
_083157_,_083157_/ZN,cell,pin
_083158_/A,_083158_,pin,cell
_083158_,_083158_/Z,cell,pin
_083159_/A,_083159_,pin,cell
_083159_,_083159_/Z,cell,pin
_083160_/A,_083160_,pin,cell
_083160_,_083160_/Z,cell,pin
_083161_/A,_083161_,pin,cell
_083161_,_083161_/Z,cell,pin
_083162_/A,_083162_,pin,cell
_083162_,_083162_/ZN,cell,pin
_083163_/A1,_083163_,pin,cell
_083163_/A2,_083163_,pin,cell
_083163_,_083163_/ZN,cell,pin
_083164_/A,_083164_,pin,cell
_083164_,_083164_/ZN,cell,pin
_083165_/A1,_083165_,pin,cell
_083165_/A2,_083165_,pin,cell
_083165_/A3,_083165_,pin,cell
_083165_,_083165_/ZN,cell,pin
_083166_/A1,_083166_,pin,cell
_083166_/A2,_083166_,pin,cell
_083166_,_083166_/ZN,cell,pin
_083167_/A,_083167_,pin,cell
_083167_,_083167_/Z,cell,pin
_083168_/A,_083168_,pin,cell
_083168_,_083168_/ZN,cell,pin
_083169_/A,_083169_,pin,cell
_083169_,_083169_/Z,cell,pin
_083170_/A,_083170_,pin,cell
_083170_,_083170_/ZN,cell,pin
_083171_/A,_083171_,pin,cell
_083171_,_083171_/Z,cell,pin
_083172_/A,_083172_,pin,cell
_083172_,_083172_/Z,cell,pin
_083173_/A,_083173_,pin,cell
_083173_,_083173_/Z,cell,pin
_083174_/A,_083174_,pin,cell
_083174_,_083174_/ZN,cell,pin
_083175_/A,_083175_,pin,cell
_083175_,_083175_/Z,cell,pin
_083176_/A,_083176_,pin,cell
_083176_,_083176_/Z,cell,pin
_083177_/A1,_083177_,pin,cell
_083177_/A2,_083177_,pin,cell
_083177_,_083177_/ZN,cell,pin
_083178_/A1,_083178_,pin,cell
_083178_/A2,_083178_,pin,cell
_083178_/A3,_083178_,pin,cell
_083178_/B1,_083178_,pin,cell
_083178_/B2,_083178_,pin,cell
_083178_/B3,_083178_,pin,cell
_083178_,_083178_/ZN,cell,pin
_083179_/A1,_083179_,pin,cell
_083179_/A2,_083179_,pin,cell
_083179_,_083179_/ZN,cell,pin
_083180_/A1,_083180_,pin,cell
_083180_/A2,_083180_,pin,cell
_083180_,_083180_/ZN,cell,pin
_083181_/A,_083181_,pin,cell
_083181_,_083181_/ZN,cell,pin
_083182_/A1,_083182_,pin,cell
_083182_/A2,_083182_,pin,cell
_083182_/A3,_083182_,pin,cell
_083182_,_083182_/ZN,cell,pin
_083183_/A1,_083183_,pin,cell
_083183_/A2,_083183_,pin,cell
_083183_,_083183_/ZN,cell,pin
_083184_/A,_083184_,pin,cell
_083184_/B1,_083184_,pin,cell
_083184_/B2,_083184_,pin,cell
_083184_,_083184_/ZN,cell,pin
_083185_/A1,_083185_,pin,cell
_083185_/A2,_083185_,pin,cell
_083185_/A3,_083185_,pin,cell
_083185_,_083185_/ZN,cell,pin
_083186_/A1,_083186_,pin,cell
_083186_/A2,_083186_,pin,cell
_083186_,_083186_/ZN,cell,pin
_083187_/A,_083187_,pin,cell
_083187_,_083187_/Z,cell,pin
_083188_/A,_083188_,pin,cell
_083188_,_083188_/ZN,cell,pin
_083189_/A,_083189_,pin,cell
_083189_,_083189_/Z,cell,pin
_083190_/A,_083190_,pin,cell
_083190_,_083190_/ZN,cell,pin
_083191_/A1,_083191_,pin,cell
_083191_/A2,_083191_,pin,cell
_083191_/A3,_083191_,pin,cell
_083191_/A4,_083191_,pin,cell
_083191_,_083191_/ZN,cell,pin
_083192_/A,_083192_,pin,cell
_083192_,_083192_/Z,cell,pin
_083193_/A,_083193_,pin,cell
_083193_,_083193_/Z,cell,pin
_083194_/A1,_083194_,pin,cell
_083194_/A2,_083194_,pin,cell
_083194_,_083194_/ZN,cell,pin
_083195_/A1,_083195_,pin,cell
_083195_/A2,_083195_,pin,cell
_083195_,_083195_/ZN,cell,pin
_083196_/A,_083196_,pin,cell
_083196_/B1,_083196_,pin,cell
_083196_/B2,_083196_,pin,cell
_083196_,_083196_/ZN,cell,pin
_083197_/A1,_083197_,pin,cell
_083197_/A2,_083197_,pin,cell
_083197_,_083197_/ZN,cell,pin
_083198_/A1,_083198_,pin,cell
_083198_/A2,_083198_,pin,cell
_083198_,_083198_/ZN,cell,pin
_083199_/A,_083199_,pin,cell
_083199_/B1,_083199_,pin,cell
_083199_/B2,_083199_,pin,cell
_083199_,_083199_/ZN,cell,pin
_083200_/A,_083200_,pin,cell
_083200_,_083200_/ZN,cell,pin
_083201_/A,_083201_,pin,cell
_083201_,_083201_/ZN,cell,pin
_083202_/A1,_083202_,pin,cell
_083202_/A2,_083202_,pin,cell
_083202_/A3,_083202_,pin,cell
_083202_,_083202_/ZN,cell,pin
_083203_/A,_083203_,pin,cell
_083203_,_083203_/ZN,cell,pin
_083204_/A1,_083204_,pin,cell
_083204_/A2,_083204_,pin,cell
_083204_/A3,_083204_,pin,cell
_083204_/A4,_083204_,pin,cell
_083204_,_083204_/ZN,cell,pin
_083205_/A,_083205_,pin,cell
_083205_/B1,_083205_,pin,cell
_083205_/B2,_083205_,pin,cell
_083205_,_083205_/ZN,cell,pin
_083206_/A1,_083206_,pin,cell
_083206_/A2,_083206_,pin,cell
_083206_/A3,_083206_,pin,cell
_083206_,_083206_/ZN,cell,pin
_083207_/A,_083207_,pin,cell
_083207_/B1,_083207_,pin,cell
_083207_/B2,_083207_,pin,cell
_083207_,_083207_/ZN,cell,pin
_083208_/A1,_083208_,pin,cell
_083208_/A2,_083208_,pin,cell
_083208_,_083208_/ZN,cell,pin
_083209_/A,_083209_,pin,cell
_083209_,_083209_/ZN,cell,pin
_083210_/A1,_083210_,pin,cell
_083210_/A2,_083210_,pin,cell
_083210_,_083210_/ZN,cell,pin
_083211_/A1,_083211_,pin,cell
_083211_/A2,_083211_,pin,cell
_083211_/A3,_083211_,pin,cell
_083211_/B1,_083211_,pin,cell
_083211_/B2,_083211_,pin,cell
_083211_/B3,_083211_,pin,cell
_083211_,_083211_/ZN,cell,pin
_083212_/A1,_083212_,pin,cell
_083212_/A2,_083212_,pin,cell
_083212_,_083212_/ZN,cell,pin
_083213_/A1,_083213_,pin,cell
_083213_/A2,_083213_,pin,cell
_083213_/A3,_083213_,pin,cell
_083213_,_083213_/ZN,cell,pin
_083214_/A1,_083214_,pin,cell
_083214_/A2,_083214_,pin,cell
_083214_,_083214_/ZN,cell,pin
_083215_/A,_083215_,pin,cell
_083215_/B1,_083215_,pin,cell
_083215_/B2,_083215_,pin,cell
_083215_,_083215_/ZN,cell,pin
_083216_/A,_083216_,pin,cell
_083216_,_083216_/ZN,cell,pin
_083217_/A1,_083217_,pin,cell
_083217_/A2,_083217_,pin,cell
_083217_,_083217_/ZN,cell,pin
_083218_/A1,_083218_,pin,cell
_083218_/A2,_083218_,pin,cell
_083218_/A3,_083218_,pin,cell
_083218_/B1,_083218_,pin,cell
_083218_/B2,_083218_,pin,cell
_083218_/B3,_083218_,pin,cell
_083218_,_083218_/ZN,cell,pin
_083219_/A,_083219_,pin,cell
_083219_/B1,_083219_,pin,cell
_083219_/B2,_083219_,pin,cell
_083219_,_083219_/ZN,cell,pin
_083220_/A1,_083220_,pin,cell
_083220_/A2,_083220_,pin,cell
_083220_,_083220_/ZN,cell,pin
_083221_/A,_083221_,pin,cell
_083221_/B1,_083221_,pin,cell
_083221_/B2,_083221_,pin,cell
_083221_,_083221_/ZN,cell,pin
_083222_/A,_083222_,pin,cell
_083222_,_083222_/ZN,cell,pin
_083223_/A1,_083223_,pin,cell
_083223_/A2,_083223_,pin,cell
_083223_/A3,_083223_,pin,cell
_083223_,_083223_/ZN,cell,pin
_083224_/A1,_083224_,pin,cell
_083224_/A2,_083224_,pin,cell
_083224_/A3,_083224_,pin,cell
_083224_,_083224_/ZN,cell,pin
_083225_/A,_083225_,pin,cell
_083225_,_083225_/ZN,cell,pin
_083226_/A1,_083226_,pin,cell
_083226_/A2,_083226_,pin,cell
_083226_/A3,_083226_,pin,cell
_083226_/A4,_083226_,pin,cell
_083226_,_083226_/ZN,cell,pin
_083227_/A,_083227_,pin,cell
_083227_/B1,_083227_,pin,cell
_083227_/B2,_083227_,pin,cell
_083227_,_083227_/ZN,cell,pin
_083228_/A1,_083228_,pin,cell
_083228_/A2,_083228_,pin,cell
_083228_,_083228_/ZN,cell,pin
_083229_/A1,_083229_,pin,cell
_083229_/A2,_083229_,pin,cell
_083229_/A3,_083229_,pin,cell
_083229_,_083229_/ZN,cell,pin
_083230_/A1,_083230_,pin,cell
_083230_/A2,_083230_,pin,cell
_083230_,_083230_/ZN,cell,pin
_083231_/A1,_083231_,pin,cell
_083231_/A2,_083231_,pin,cell
_083231_/A3,_083231_,pin,cell
_083231_,_083231_/ZN,cell,pin
_083232_/A1,_083232_,pin,cell
_083232_/A2,_083232_,pin,cell
_083232_/A3,_083232_,pin,cell
_083232_/B1,_083232_,pin,cell
_083232_/B2,_083232_,pin,cell
_083232_/B3,_083232_,pin,cell
_083232_,_083232_/ZN,cell,pin
_083233_/A,_083233_,pin,cell
_083233_/B1,_083233_,pin,cell
_083233_/B2,_083233_,pin,cell
_083233_,_083233_/ZN,cell,pin
_083234_/A1,_083234_,pin,cell
_083234_/A2,_083234_,pin,cell
_083234_/A3,_083234_,pin,cell
_083234_,_083234_/ZN,cell,pin
_083235_/A1,_083235_,pin,cell
_083235_/A2,_083235_,pin,cell
_083235_,_083235_/ZN,cell,pin
_083236_/A,_083236_,pin,cell
_083236_,_083236_/ZN,cell,pin
_083237_/A1,_083237_,pin,cell
_083237_/A2,_083237_,pin,cell
_083237_/A3,_083237_,pin,cell
_083237_,_083237_/ZN,cell,pin
_083238_/A1,_083238_,pin,cell
_083238_/A2,_083238_,pin,cell
_083238_/A3,_083238_,pin,cell
_083238_/A4,_083238_,pin,cell
_083238_,_083238_/ZN,cell,pin
_083239_/A1,_083239_,pin,cell
_083239_/A2,_083239_,pin,cell
_083239_,_083239_/ZN,cell,pin
_083240_/A1,_083240_,pin,cell
_083240_/A2,_083240_,pin,cell
_083240_,_083240_/ZN,cell,pin
_083241_/A1,_083241_,pin,cell
_083241_/A2,_083241_,pin,cell
_083241_,_083241_/ZN,cell,pin
_083242_/A,_083242_,pin,cell
_083242_/B1,_083242_,pin,cell
_083242_/B2,_083242_,pin,cell
_083242_,_083242_/ZN,cell,pin
_083243_/A,_083243_,pin,cell
_083243_,_083243_/Z,cell,pin
_083244_/A,_083244_,pin,cell
_083244_,_083244_/ZN,cell,pin
_083245_/A,_083245_,pin,cell
_083245_,_083245_/ZN,cell,pin
_083246_/A1,_083246_,pin,cell
_083246_/A2,_083246_,pin,cell
_083246_,_083246_/ZN,cell,pin
_083247_/A,_083247_,pin,cell
_083247_,_083247_/Z,cell,pin
_083248_/A,_083248_,pin,cell
_083248_,_083248_/ZN,cell,pin
_083249_/A1,_083249_,pin,cell
_083249_/A2,_083249_,pin,cell
_083249_,_083249_/ZN,cell,pin
_083250_/A,_083250_,pin,cell
_083250_,_083250_/Z,cell,pin
_083251_/A1,_083251_,pin,cell
_083251_/A2,_083251_,pin,cell
_083251_,_083251_/ZN,cell,pin
_083252_/A,_083252_,pin,cell
_083252_,_083252_/Z,cell,pin
_083253_/A1,_083253_,pin,cell
_083253_/A2,_083253_,pin,cell
_083253_,_083253_/ZN,cell,pin
_083254_/A,_083254_,pin,cell
