net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
clk,1250740,-1,1,6.455843888988899e-14,38.22429417818785,24.91304422914982,852.994270324707
core_rst_l,15800,-1,0,7.811013849476833e-16,0.4997825622558594,0.28131982061313465,34.309288024902344
dbg_bus_clk_en,387340,-1,1,2.1621334212493064e-14,12.35867378115654,8.2879918679605,314.0635814666748
dccm_clk_override,24430,-1,0,1.066349364935344e-15,0.7657290101051331,0.300618982873857,52.072508811950684
dccm_rd_addr_hi[0],12620,-1,0,6.103123318477858e-16,0.2785307466983795,0.3317830099258572,31.30071449279785
dccm_rd_addr_hi[10],14280,-1,0,6.713262326208812e-16,0.2759680151939392,0.39535807678475976,32.525001525878906
dccm_rd_addr_hi[11],18640,-1,0,9.049572953522857e-16,0.4787335991859436,0.4262228272855282,40.6007194519043
dccm_rd_addr_hi[12],12720,-1,0,6.320865843063785e-16,0.38022348284721375,0.2518629510886967,31.479286193847656
dccm_rd_addr_hi[13],12260,-1,0,5.921538512827849e-16,0.34372442960739136,0.24842940224334598,31.81785774230957
dccm_rd_addr_hi[14],14240,-1,0,7.283290088722538e-16,0.38321197032928467,0.34511705092154443,32.45357131958008
dccm_rd_addr_hi[15],20820,-1,0,9.058286804967735e-16,0.5681591629981995,0.33766888082027435,47.31357955932617
dccm_rd_addr_hi[1],12820,-1,0,6.119554698863407e-16,0.2961481809616089,0.31580817978829145,31.15785789489746
dccm_rd_addr_hi[2],12800,-1,0,6.064886133656431e-16,0.28590860962867737,0.320581495645456,31.122142791748047
dccm_rd_addr_hi[3],16420,-1,0,7.882343552756302e-16,0.36012542247772217,0.42810902185738087,39.24643325805664
dccm_rd_addr_hi[4],25360,-1,0,1.524309056934051e-15,0.6545144319534302,0.8697950765490532,42.66071701049805
dccm_rd_addr_hi[5],19860,-1,0,1.0053704042713228e-15,0.6212829947471619,0.3840887635014951,36.68928527832031
dccm_rd_addr_hi[6],18500,-1,0,9.085295509282123e-16,0.5431206226348877,0.36540921148844063,37.16071701049805
dccm_rd_addr_hi[7],14940,-1,0,6.985621005838104e-16,0.4174729585647583,0.28109029604820535,36.603572845458984
dccm_rd_addr_hi[8],14440,-1,0,7.500650389691017e-16,0.44412726163864136,0.3059370497940108,32.81071472167969
dccm_rd_addr_hi[9],24700,-1,0,1.5726800380573103e-15,0.6005000472068787,0.9721800847910345,41.032142639160156
dccm_rd_addr_lo[0],15060,-1,0,7.057031706643154e-16,0.47674816846847534,0.22895505744963884,36.7978630065918
dccm_rd_addr_lo[10],15260,-1,0,7.84582319783984e-16,0.37808918952941895,0.40649192593991756,34.56500244140625
dccm_rd_addr_lo[11],15180,-1,0,7.421306166543746e-16,0.2766900062561035,0.4654409559443593,34.132144927978516
dccm_rd_addr_lo[12],17340,-1,0,8.778229125243494e-16,0.4561416804790497,0.42168046976439655,39.399288177490234
dccm_rd_addr_lo[13],15100,-1,0,7.566191152171594e-16,0.375081330537796,0.38153667328879237,33.989288330078125
dccm_rd_addr_lo[14],19280,-1,0,1.092148717959289e-15,0.5295078158378601,0.562640989664942,41.08357620239258
dccm_rd_addr_lo[15],16880,-1,0,8.40963373852072e-16,0.489375501871109,0.3515876969322562,38.907859802246094
dccm_rd_addr_lo[1],15080,-1,0,6.884178751888153e-16,0.3300538659095764,0.3583644600585103,33.95357131958008
dccm_rd_addr_lo[2],13300,-1,0,6.864563057016519e-16,0.37018731236457825,0.3162677726941183,32.51499938964844
dccm_rd_addr_lo[3],17620,-1,0,7.100216093272138e-16,0.48486781120300293,0.22515356371877715,40.559288024902344
dccm_rd_addr_lo[4],12580,-1,0,6.315795292083284e-16,0.38327622413635254,0.24830291466787457,31.229286193847656
dccm_rd_addr_lo[5],26300,-1,0,1.4985133038001317e-15,0.6020018756389618,0.8965105690294877,51.08929252624512
dccm_rd_addr_lo[6],16220,-1,0,7.687308922695079e-16,0.3391259014606476,0.42960490053519607,35.989288330078125
dccm_rd_addr_lo[7],29520,-1,0,1.6624659539827397e-15,0.6474593877792358,1.015007047855761,57.379295349121094
dccm_rd_addr_lo[8],14520,-1,0,7.357958160605373e-16,0.45377424359321594,0.2820224731694907,32.95357131958008
dccm_rd_addr_lo[9],19820,-1,0,8.988806809886833e-16,0.46650442481040955,0.4323768438771367,43.65786361694336
dccm_rd_data_hi[0],18400,-1,1,1.9868997956927524e-15,0.526435375213623,0.48580500786192715,39.9521484375
dccm_rd_data_hi[10],15020,-1,1,1.689009743088203e-15,0.4457113742828369,0.2686381103703752,31.7164306640625
dccm_rd_data_hi[11],11340,-1,1,1.5229974264152277e-15,0.313909113407135,0.2344283047132194,26.924999237060547
dccm_rd_data_hi[12],15880,-1,1,1.792679164293841e-15,0.4675358235836029,0.35048454790376127,31.802143096923828
dccm_rd_data_hi[13],15320,-1,1,1.7286780959531347e-15,0.441864013671875,0.3121547498740256,30.512144088745117
dccm_rd_data_hi[14],10500,-1,1,1.4737450016312319e-15,0.2505095303058624,0.24857689440250397,26.084999084472656
dccm_rd_data_hi[15],16560,-1,1,1.7300169374053886e-15,0.4965279996395111,0.25882985832868144,39.72643280029297
dccm_rd_data_hi[16],18180,-1,1,1.822718764251741e-15,0.44298362731933594,0.4050758392550051,33.919288635253906
dccm_rd_data_hi[17],21580,-1,1,1.993489500264154e-15,0.6135339736938477,0.4052969007752836,39.990718841552734
dccm_rd_data_hi[18],13240,-1,1,1.5704999870093145e-15,0.3709527552127838,0.22488850355148315,33.79785919189453
