src,tar,src_type,tar_type
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_24__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114410_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_24__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114408_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_24__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114362_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_23__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114411_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_23__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114377_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_22__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114411_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_22__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114365_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_21__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114416_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_21__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114364_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_20__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114419_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_20__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114367_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_19__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114419_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_19__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114375_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_18__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114421_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_18__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114374_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_17__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114421_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_17__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114420_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_17__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114368_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_16__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114424_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_16__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114369_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_15__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114424_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_15__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114371_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_14__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114445_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_14__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114372_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_13__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114447_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_13__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114444_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_13__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114372_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_12__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114447_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_12__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114380_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_11__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114444_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_11__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114383_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_11__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114379_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_10__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114426_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_10__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114379_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_9__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114441_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_9__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114387_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_8__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114428_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_8__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114384_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_7__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114429_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_7__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114398_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_7__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114385_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_6__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114429_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_6__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114385_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_5__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114430_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_5__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114391_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_4__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114432_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_4__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114395_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_4__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114388_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_3__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114389_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_2__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114437_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_2__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114396_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_1__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114434_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_1__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114393_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_0__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114434_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_0__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114402_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_0__ic_way2_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114401_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_31__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114284_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_31__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114282_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_31__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114249_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_30__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114282_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_30__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114249_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_29__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114284_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_29__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114250_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_28__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114286_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_28__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114255_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_27__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114286_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_27__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114258_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_27__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114251_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_26__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114288_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_26__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114252_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_25__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114291_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_25__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114289_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_25__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114258_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_25__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114253_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_24__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114256_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_23__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114261_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_22__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114308_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_22__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114295_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_21__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114353_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_21__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114295_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_20__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114351_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_20__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114307_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_19__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114348_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_19__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114301_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_18__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114302_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_18__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114298_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_17__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114299_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_17__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114263_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_16__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114303_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_16__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114263_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_15__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114303_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_15__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114266_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_14__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114305_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_14__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114268_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_14__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114265_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_13__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114331_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_13__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114268_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_12__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114332_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_12__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114311_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_12__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114269_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_11__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114333_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_11__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114274_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_10__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114315_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_10__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114276_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_10__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114274_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_9__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114313_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_9__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114276_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_8__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114328_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_8__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114277_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_7__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114344_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_7__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114325_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_6__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114326_,cell,cell
ifu.mem_ctl.CLK_GRP_TAG_VALID_1__TAG_VALID_6__ic_way1_tagvalid_dup.dffs.dout$_DFFE_PN0P_,_114278_,cell,cell
