src,tar,src_type,tar_type,is_net,arc_delay
_079314_/A2,_079314_/ZN,pin,pin,0,3.900785250365857e-11
_079315_/A1,_079315_/ZN,pin,pin,0,2.3875176141663346e-11
_079315_/A2,_079315_/ZN,pin,pin,0,2.125847241296608e-11
_079316_/A,_079316_/ZN,pin,pin,0,3.367860851311022e-11
_079317_/A1,_079317_/ZN,pin,pin,0,4.032300535139477e-11
_079317_/A2,_079317_/ZN,pin,pin,0,3.1995885108049293e-11
_079318_/A,_079318_/ZN,pin,pin,0,4.112539475631394e-11
_079319_/A,_079319_/Z,pin,pin,0,2.21242659609322e-11
_079320_/A,_079320_/Z,pin,pin,0,3.1368650732499503e-11
_079321_/A,_079321_/Z,pin,pin,0,2.1228321184230126e-11
_079322_/A,_079322_/Z,pin,pin,0,3.8302309240956234e-11
_079323_/A,_079323_/Z,pin,pin,0,3.9145301583554115e-11
_079324_/A,_079324_/Z,pin,pin,0,3.0721102745046025e-11
_079325_/A1,_079325_/ZN,pin,pin,0,2.78744492765437e-11
_079325_/A2,_079325_/ZN,pin,pin,0,3.2192287030552436e-11
_079326_/A,_079326_/ZN,pin,pin,0,2.7378814493328463e-11
_079327_/A1,_079327_/ZN,pin,pin,0,2.95990419674208e-11
_079327_/A2,_079327_/ZN,pin,pin,0,3.085181415896088e-11
_079328_/A,_079328_/ZN,pin,pin,0,3.96088786769333e-11
_079329_/A1,_079329_/ZN,pin,pin,0,2.6703696545671285e-11
_079329_/A2,_079329_/ZN,pin,pin,0,3.8526837969898864e-11
_079330_/A1,_079330_/ZN,pin,pin,0,3.864718614576823e-11
_079330_/A2,_079330_/ZN,pin,pin,0,2.5027986627623733e-11
_079331_/A,_079331_/ZN,pin,pin,0,4.5730082914863246e-11
_079332_/A,_079332_/Z,pin,pin,0,2.7922971226890247e-11
_079333_/A,_079333_/Z,pin,pin,0,4.055589544749161e-11
_079334_/A1,_079334_/ZN,pin,pin,0,3.516584939911027e-11
_079334_/A2,_079334_/ZN,pin,pin,0,3.158330194596992e-11
_079335_/A,_079335_/ZN,pin,pin,0,3.3809038901821964e-11
_079336_/A,_079336_/Z,pin,pin,0,4.1152879715067314e-11
_079337_/A,_079337_/Z,pin,pin,0,4.27011863368687e-11
_079338_/A,_079338_/Z,pin,pin,0,4.761440547396134e-11
_079339_/A1,_079339_/ZN,pin,pin,0,3.13753016623064e-11
_079339_/A2,_079339_/ZN,pin,pin,0,3.040650370378373e-11
_079340_/A,_079340_/Z,pin,pin,0,3.441955401251029e-11
_079341_/A1,_079341_/ZN,pin,pin,0,4.504362854929056e-11
_079341_/A2,_079341_/ZN,pin,pin,0,3.000254558682691e-11
_079342_/A,_079342_/ZN,pin,pin,0,3.4637577528418007e-11
_079343_/A,_079343_/Z,pin,pin,0,3.6522066620969795e-11
_079344_/A1,_079344_/ZN,pin,pin,0,2.5220728283592564e-11
_079344_/A2,_079344_/ZN,pin,pin,0,3.295907644029761e-11
_079345_/A,_079345_/ZN,pin,pin,0,2.8519332728738078e-11
_079346_/A,_079346_/Z,pin,pin,0,3.861904893098789e-11
_079347_/A1,_079347_/ZN,pin,pin,0,4.261658040349836e-11
_079347_/A2,_079347_/ZN,pin,pin,0,3.100334225458745e-11
_079348_/A,_079348_/ZN,pin,pin,0,3.9355265574192444e-11
_079349_/A1,_079349_/ZN,pin,pin,0,4.384012597391518e-11
_079349_/A2,_079349_/ZN,pin,pin,0,3.029249767694253e-11
_079350_/A,_079350_/ZN,pin,pin,0,3.54765973542559e-11
_079351_/A1,_079351_/ZN,pin,pin,0,4.2724813270611506e-11
_079351_/A2,_079351_/ZN,pin,pin,0,3.352206012774417e-11
_079352_/A,_079352_/ZN,pin,pin,0,3.1739923189721964e-11
_079353_/A,_079353_/ZN,pin,pin,0,1.6661160298636624e-11
_079354_/A1,_079354_/ZN,pin,pin,0,2.8970988802390352e-11
_079354_/A2,_079354_/ZN,pin,pin,0,3.0684232932287614e-11
_079355_/A,_079355_/ZN,pin,pin,0,3.435849868504981e-11
_079356_/A1,_079356_/ZN,pin,pin,0,3.527195202579492e-11
_079356_/A2,_079356_/ZN,pin,pin,0,2.6622220053451606e-11
_079357_/A,_079357_/ZN,pin,pin,0,2.360581521920757e-11
_079358_/A,_079358_/Z,pin,pin,0,4.918025708899876e-11
_079359_/A1,_079359_/ZN,pin,pin,0,2.321229840285266e-11
_079359_/A2,_079359_/ZN,pin,pin,0,2.8508796018344995e-11
_079360_/A1,_079360_/ZN,pin,pin,0,4.0142850848967626e-11
_079360_/A2,_079360_/ZN,pin,pin,0,3.520659111466706e-11
_079361_/A,_079361_/ZN,pin,pin,0,2.4829919370583653e-11
_079362_/A1,_079362_/ZN,pin,pin,0,2.3197657336715416e-11
_079362_/A2,_079362_/ZN,pin,pin,0,2.5965739974820323e-11
_079363_/A,_079363_/ZN,pin,pin,0,3.809236953644657e-11
_079364_/A,_079364_/Z,pin,pin,0,4.7896391713875275e-11
_079365_/A,_079365_/Z,pin,pin,0,3.7814237852096255e-11
_079366_/A1,_079366_/ZN,pin,pin,0,3.6699639854864685e-11
_079366_/A2,_079366_/ZN,pin,pin,0,3.1993629967530524e-11
_079367_/A,_079367_/ZN,pin,pin,0,3.412994192819596e-11
_079368_/A,_079368_/Z,pin,pin,0,3.793150515907229e-11
_079369_/A1,_079369_/ZN,pin,pin,0,3.067552115099126e-11
_079369_/A2,_079369_/ZN,pin,pin,0,2.831261093627635e-11
_079370_/A1,_079370_/ZN,pin,pin,0,4.7632627009353e-11
_079370_/A2,_079370_/ZN,pin,pin,0,3.179043833734241e-11
_079371_/A,_079371_/ZN,pin,pin,0,3.406691595486677e-11
_079372_/A1,_079372_/ZN,pin,pin,0,2.0264265959690775e-11
_079372_/A2,_079372_/ZN,pin,pin,0,2.2232007901301643e-11
_079373_/A,_079373_/ZN,pin,pin,0,2.4209041021849842e-11
_079374_/A1,_079374_/ZN,pin,pin,0,2.6960598684122594e-11
_079374_/A2,_079374_/ZN,pin,pin,0,2.699739737321849e-11
_079375_/A,_079375_/ZN,pin,pin,0,4.126951211325114e-11
_079376_/A1,_079376_/ZN,pin,pin,0,4.518591056879018e-11
_079376_/A2,_079376_/ZN,pin,pin,0,3.3383174696810514e-11
_079377_/A,_079377_/ZN,pin,pin,0,3.5423344812990365e-11
_079378_/A1,_079378_/ZN,pin,pin,0,1.9889367930403523e-11
_079378_/A2,_079378_/ZN,pin,pin,0,2.5602067341146117e-11
_079379_/A,_079379_/ZN,pin,pin,0,1.9547764448790694e-11
_079380_/A,_079380_/Z,pin,pin,0,2.7085188258890724e-11
_079381_/A1,_079381_/ZN,pin,pin,0,1.750386120769054e-11
_079381_/A2,_079381_/ZN,pin,pin,0,2.6907228181660692e-11
_079382_/A1,_079382_/ZN,pin,pin,0,3.8176364847153366e-11
_079382_/A2,_079382_/ZN,pin,pin,0,3.185028629726361e-11
_079383_/A,_079383_/ZN,pin,pin,0,3.306249371504144e-11
_079384_/A,_079384_/Z,pin,pin,0,3.0759533808932815e-11
_079385_/A,_079385_/Z,pin,pin,0,2.518983632793237e-11
_079386_/A1,_079386_/ZN,pin,pin,0,1.714871127045381e-11
_079386_/A2,_079386_/ZN,pin,pin,0,2.2173412411730098e-11
_079387_/A,_079387_/ZN,pin,pin,0,1.720888709311197e-11
_079388_/A,_079388_/Z,pin,pin,0,4.456139277020377e-11
_079389_/A,_079389_/Z,pin,pin,0,2.8828446574369337e-11
_079390_/A1,_079390_/ZN,pin,pin,0,3.136228429734267e-11
_079390_/A2,_079390_/ZN,pin,pin,0,2.17285529846567e-11
_079391_/A,_079391_/ZN,pin,pin,0,3.494587952346251e-11
_079392_/A,_079392_/Z,pin,pin,0,2.299039084108223e-11
_079393_/A1,_079393_/ZN,pin,pin,0,2.608153970573568e-11
_079393_/A2,_079393_/ZN,pin,pin,0,2.7105482788836177e-11
_079394_/A,_079394_/ZN,pin,pin,0,2.064976141469277e-11
_079395_/A,_079395_/ZN,pin,pin,0,2.501498314044781e-11
_079396_/A,_079396_/ZN,pin,pin,0,3.5667073461365106e-11
_079397_/A,_079397_/ZN,pin,pin,0,3.1748093737293814e-11
_079398_/A,_079398_/ZN,pin,pin,0,2.6247882339847095e-11
_079399_/A,_079399_/Z,pin,pin,0,3.358844452572285e-11
_079400_/A1,_079400_/ZN,pin,pin,0,3.163755715740457e-11
_079400_/A2,_079400_/ZN,pin,pin,0,3.355889524603306e-11
_079401_/A,_079401_/ZN,pin,pin,0,2.493880275900029e-11
_079402_/A,_079402_/Z,pin,pin,0,3.279253604770993e-11
_079403_/A1,_079403_/ZN,pin,pin,0,3.7727113100238796e-11
_079403_/A2,_079403_/ZN,pin,pin,0,3.082253202668639e-11
_079404_/A,_079404_/ZN,pin,pin,0,2.1822755408296146e-11
_079405_/A1,_079405_/ZN,pin,pin,0,2.927303538458048e-11
_079405_/A2,_079405_/ZN,pin,pin,0,3.2804106653294696e-11
_079406_/A1,_079406_/ZN,pin,pin,0,3.1507994130430816e-11
_079406_/A2,_079406_/ZN,pin,pin,0,3.016127278487879e-11
_079407_/A,_079407_/ZN,pin,pin,0,2.048899938600357e-11
_079408_/A,_079408_/Z,pin,pin,0,3.1826926510936104e-11
_079409_/A1,_079409_/ZN,pin,pin,0,2.1029542690564895e-11
_079409_/A2,_079409_/ZN,pin,pin,0,1.9767913000956483e-11
_079410_/A,_079410_/ZN,pin,pin,0,1.7766664875407123e-11
_079411_/A1,_079411_/ZN,pin,pin,0,3.233772277733138e-11
_079411_/A2,_079411_/ZN,pin,pin,0,3.8136088037488136e-11
_079412_/A,_079412_/Z,pin,pin,0,3.40482329830305e-11
_079413_/A1,_079413_/ZN,pin,pin,0,2.154781561514163e-11
_079413_/A2,_079413_/ZN,pin,pin,0,2.1570674066384576e-11
