net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
amp[0],10640,-1,0,4.657582714045181e-16,0.39256471395492554,0.07319433940574527,28.68143081665039
amp[10],6000,-1,0,2.477736806841339e-16,0.21833720803260803,0.029435685835778713,28.015718460083008
amp[11],99200,-1,0,3.597697481046809e-15,3.5581859946250916,0.03950874041765928,99.98785877227783
amp[1],6820,-1,0,3.1841151686437346e-16,0.20187781751155853,0.11653349072730634,27.74000358581543
amp[2],2320,-1,0,9.133199589962988e-17,0.09133191406726837,0.0,21.194286346435547
amp[3],6000,-1,0,2.5381569904579684e-16,0.22520725429058075,0.028607694432139397,29.175718307495117
amp[4],2600,-1,0,1.3203095625079865e-16,0.1249304860830307,0.00710055697709322,21.944286346435547
amp[5],3440,-1,0,1.8541569744242356e-16,0.14327596127986908,0.04213970457203686,22.494287490844727
amp[6],4840,-1,0,2.516261188771445e-16,0.1894383579492569,0.0621877727098763,25.28428840637207
amp[7],3720,-1,0,1.9577135020198722e-16,0.1703384965658188,0.025432907976210117,22.994287490844727
amp[8],5400,-1,0,2.820398162301554e-16,0.23175568878650665,0.050283788703382015,25.704288482666016
amp[9],2320,-1,0,9.905415705173092e-17,0.07934228330850601,0.01971197535749525,20.614286422729492
clk,879760,-1,1,3.676952405745615e-14,30.727748036384583,4.620586610981263,100.4082145690918
din[0],15620,-1,1,2.3455602270980617e-15,0.5461562871932983,0.02019500732421875,38.0478630065918
din[1],5640,-1,1,1.2235381393967712e-15,0.15722964704036713,0.09164950693957508,26.212860107421875
din[2],8300,-1,1,1.3216740002371151e-15,0.2696259617805481,0.07738910627085716,25.742856979370117
din[3],12660,-1,1,2.2474331542245455e-15,0.46822401881217957,0.0,32.76214599609375
din[4],8360,-1,1,2.125212017408144e-15,0.3258078396320343,0.02019500732421875,27.943572998046875
din[5],12380,-1,1,1.485145323947446e-15,0.41378530859947205,0.09670028183609247,39.98857879638672
din[6],5880,-1,1,1.233176844940933e-15,0.1886756867170334,0.06984235532581806,27.80143165588379
din[7],14420,-1,1,1.597285921658574e-15,0.5050049424171448,0.11762293381616473,33.69143295288086
douten,9420,-1,0,3.879432074248377e-16,0.338803231716156,0.04913925752043724,27.74285888671875
dstrb,13980,-1,1,1.9351361299783845e-15,0.5139743089675903,0.0,35.11928939819336
ena,14560,-1,1,7.188636486207475e-15,0.4891414940357208,0.11431688390439376,40.98143768310547
qnt_cnt[0],11820,-1,0,5.005982188327452e-16,0.32679182291030884,0.17380623519420624,35.83857727050781
qnt_cnt[1],6020,-1,0,3.0523141950730053e-16,0.15025289356708527,0.15497859742026776,26.311429977416992
qnt_cnt[2],2600,-1,0,1.2912944488997904e-16,0.10640399158000946,0.02272548619657755,21.944286346435547
qnt_cnt[3],3460,-1,0,1.4397524577271735e-16,0.11670779436826706,0.027267452096566558,22.650001525878906
qnt_cnt[4],5340,-1,0,2.4409141670418265e-16,0.19266162812709808,0.051429913321044296,22.73714256286621
qnt_cnt[5],5960,-1,0,3.028395308131524e-16,0.19713185727596283,0.10570782329887152,27.824289321899414
qnt_val[0],7780,-1,1,1.3163690328884614e-15,0.3012770414352417,0.04043208155781031,28.504287719726562
qnt_val[1],12680,-1,1,1.4501449696548326e-15,0.4754863381385803,0.0,33.56428909301758
qnt_val[2],8500,-1,1,1.3259210234346482e-15,0.35126179456710815,0.0,30.95000457763672
qnt_val[3],6780,-1,1,1.2241714024039622e-15,0.237005814909935,0.012506363913416862,27.6685733795166
qnt_val[4],11980,-1,1,1.4752509203323316e-15,0.3908393979072571,0.10975191305624321,30.57428741455078
qnt_val[5],7780,-1,1,1.335099260692859e-15,0.27540478110313416,0.085036251693964,29.95429039001465
qnt_val[6],10600,-1,1,1.4441687286954798e-15,0.37336796522140503,0.09614165872335434,28.07000160217285
qnt_val[7],7820,-1,1,1.3780647951840965e-15,0.21151559054851532,0.19188959477469325,28.945716857910156
rlen[0],7840,-1,0,3.909132225752665e-16,0.3014003038406372,0.08951322524808347,31.471433639526367
rlen[1],3080,-1,0,1.2683222536257637e-16,0.12497767806053162,0.0018546434585005045,23.13142967224121
rlen[2],2320,-1,0,9.133199589962988e-17,0.09133191406726837,0.0,21.194286346435547
