pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_5757_/Y,28171,38475,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_5757_,net17338,1.3860781446217718e-11,-2.2276200328796847e-10,6.258090712307762e-10,6.25327012393484e-10,-1
_5758_/A1,49449,47641,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5758_,net11696,2.1456924778617825e-11,-1.926230702720133e-10,2.85557105739187e-10,2.874155635712583e-10,5.727040160501357e-16
_5758_/A2,49538,47655,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5758_,net15068,1.5859110899518747e-11,-1.8468149232120368e-10,2.807580556929423e-10,2.809828480998533e-10,6.224430083227699e-16
_5758_/B1,49661,47612,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5758_,net11695,2.237741242305802e-11,-1.8940486679053237e-10,2.841048785118261e-10,2.8337132640388063e-10,6.093810191222797e-16
_5758_/B2,49599,47637,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5758_,net6298,2.1887018239463707e-11,-1.8882873042969095e-10,2.8480767744198943e-10,2.840276625004634e-10,6.487659865267957e-16
_5758_/Y,49894,47655,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_5758_,net11697,1.943186063446678e-11,-1.926230563942255e-10,3.1070765404983547e-10,3.140313287186558e-10,-1
_5759_/A1,49761,47367,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5759_,net21382,2.4868322678894828e-11,-1.824217027435182e-10,2.6411020592753687e-10,2.567217549653833e-10,6.129520041487854e-16
_5759_/A2,49815,47367,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5759_,net6290,1.1656471794740941e-11,-1.8882873042969095e-10,2.740278282065134e-10,2.740809246226661e-10,6.482139857429819e-16
_5759_/B1,49928,47324,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5759_,net6278,1.1311514225287311e-11,-1.8400397872042618e-10,2.6654012330595833e-10,2.7295615767641834e-10,5.674409768323711e-16
_5759_/B2,49861,47427,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5759_,net10054,3.2373978497979294e-11,-1.8246151811673883e-10,2.6552451903860685e-10,2.6389174179186625e-10,6.118210034059641e-16
_5759_/Y,49743,47367,0,-1,0,0,1,2.3040000896729085e-14,3.199999987213431e-10,0,_5759_,net6298,2.1887018239463707e-11,-1.8882873042969095e-10,2.8479776870149465e-10,2.8401775375996863e-10,-1
_575_/A,85032,47385,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_575_,net3946,1.839959608285202e-11,-1.5559560584410548e-10,1.776006008924469e-10,1.7750655112447333e-10,5.770419894103802e-16
_575_/Y,85209,47385,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_575_,net472,1.0087384920420828e-11,-1.5559560584410548e-10,1.9551785190863313e-10,1.9592671929302696e-10,-1
_5760_/A,49663,47115,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5760_,net10054,3.237573403813698e-11,-1.8882873042969095e-10,2.6556268295507834e-10,2.6393170982075276e-10,6.837159952986067e-16
_5760_/Y,49750,47115,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_5760_,net6290,1.1656471794740941e-11,-1.8882873042969095e-10,2.740202231787947e-10,2.74073347350523e-10,-1
_5761_/A,50041,47385,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5761_,net21382,2.4868740747252538e-11,-1.8400399259821398e-10,2.641198926234267e-10,2.5673144166127315e-10,4.855009682786806e-16
_5761_/Y,50128,47385,0,-1,0,0,1,2.3040000896729085e-14,3.199999987213431e-10,0,_5761_,net6278,1.1311514225287311e-11,-1.8400397872042618e-10,2.6653537710252806e-10,2.7295141147298807e-10,-1
_5762_/A1,54363,45778,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5762_,net12299,2.3460674375419543e-11,-1.8075753394075633e-10,2.979245461443014e-10,2.9651930910645774e-10,5.727040160501357e-16
_5762_/A2,54452,45765,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5762_,net6329,1.9404889153862293e-11,-1.9507820359088157e-10,3.113152791112128e-10,3.0982072463103805e-10,6.224430083227699e-16
