src,tar,src_type,tar_type
net27388,_10102_,net,cell
_10102_,net10569,cell,net
net27201,_10103_,net,cell
_10103_,net10568,cell,net
net27199,_10104_,net,cell
_10104_,net10566,cell,net
net27364,_10105_,net,cell
_10105_,net10565,cell,net
net29437,_10106_,net,cell
_10106_,net10564,cell,net
net29445,_10107_,net,cell
_10107_,net10563,cell,net
net27387,_10108_,net,cell
_10108_,net10562,cell,net
net29258,_10109_,net,cell
_10109_,net10561,cell,net
net26242,_1010_,net,cell
_1010_,net3014,cell,net
net32723,_10110_,net,cell
_10110_,net8701,cell,net
net29269,_10111_,net,cell
_10111_,net10560,cell,net
net29261,_10112_,net,cell
_10112_,net10558,cell,net
net27202,_10113_,net,cell
_10113_,net10557,cell,net
net27381,_10114_,net,cell
_10114_,net10556,cell,net
net27363,_10115_,net,cell
_10115_,net14913,cell,net
net313,_10116_,net,cell
_10116_,net14608,cell,net
net27379,_10117_,net,cell
_10117_,net15189,cell,net
net32722,_10118_,net,cell
_10118_,net7082,cell,net
net27390,_10119_,net,cell
_10119_,net15188,cell,net
net3014,_1011_,net,cell
_1011_,net2296,cell,net
net29257,_10120_,net,cell
_10120_,net10554,cell,net
net29602,_10121_,net,cell
_10121_,net10552,cell,net
net29273,_10122_,net,cell
_10122_,net10551,cell,net
net27366,_10123_,net,cell
_10123_,net10550,cell,net
net79424,_10124_,net,cell
_10124_,net16272,cell,net
net27380,_10125_,net,cell
_10125_,net15015,cell,net
net27365,_10126_,net,cell
_10126_,net10549,cell,net
net27196,_10127_,net,cell
_10127_,net10548,cell,net
net27377,_10128_,net,cell
_10128_,net15279,cell,net
net26136,_10129_,net,cell
_10129_,net10547,cell,net
net3014,_1012_,net,cell
_1012_,net2201,cell,net
net27218,_10130_,net,cell
_10130_,net15309,cell,net
net29594,_10131_,net,cell
_10131_,net10545,cell,net
net29267,_10132_,net,cell
_10132_,net10544,cell,net
net27510,_10133_,net,cell
_10133_,net10543,cell,net
net29451,_10134_,net,cell
_10134_,net10542,cell,net
net27384,_10135_,net,cell
_10135_,net10541,cell,net
net572,_10136_,net,cell
_10136_,net11836,cell,net
net32724,_10137_,net,cell
_10137_,net11872,cell,net
net27209,_10138_,net,cell
_10138_,net10539,cell,net
net515,_10139_,net,cell
_10139_,net8457,cell,net
net2201,_1013_,net,cell
_1013_,net3326,cell,net
net29597,_10140_,net,cell
_10140_,net10538,cell,net
net27375,_10141_,net,cell
_10141_,net15118,cell,net
net29264,_10142_,net,cell
_10142_,net10537,cell,net
net27173,_10143_,net,cell
_10143_,net8270,cell,net
net27210,_10144_,net,cell
_10144_,net15326,cell,net
net29457,_10145_,net,cell
_10145_,net15072,cell,net
net29459,_10146_,net,cell
_10146_,net14970,cell,net
net29270,_10147_,net,cell
_10147_,net10535,cell,net
net29224,_10148_,net,cell
_10148_,net8824,cell,net
net565,_10149_,net,cell
_10149_,net8109,cell,net
net32094,_1014_,net,cell
_1014_,net32095,cell,net
net29444,_10150_,net,cell
_10150_,net10534,cell,net
net29433,_10151_,net,cell
_10151_,net10533,cell,net
net29278,_10152_,net,cell
_10152_,net10532,cell,net
net27214,_10153_,net,cell
_10153_,net10530,cell,net
net29283,_10154_,net,cell
_10154_,net10529,cell,net
net29263,_10155_,net,cell
_10155_,net10528,cell,net
net29456,_10156_,net,cell
_10156_,net14882,cell,net
net27189,_10157_,net,cell
_10157_,net10527,cell,net
net29458,_10158_,net,cell
_10158_,net15254,cell,net
net29248,_10159_,net,cell
_10159_,net7114,cell,net
net24695,_1015_,net,cell
_1015_,net23437,cell,net
net29438,_10160_,net,cell
_10160_,net10525,cell,net
net29268,_10161_,net,cell
_10161_,net10524,cell,net
net26069,_10162_,net,cell
_10162_,net10523,cell,net
net27211,_10163_,net,cell
_10163_,net10522,cell,net
net29455,_10164_,net,cell
_10164_,net15086,cell,net
net27521,_10165_,net,cell
_10165_,net10520,cell,net
net27191,_10166_,net,cell
_10166_,net10519,cell,net
net29600,_10167_,net,cell
_10167_,net10517,cell,net
net29266,_10168_,net,cell
_10168_,net10516,cell,net
net29441,_10169_,net,cell
_10169_,net10515,cell,net
net24695,_1016_,net,cell
_1016_,net1166,cell,net
net27372,_10170_,net,cell
_10170_,net15299,cell,net
net29599,_10171_,net,cell
_10171_,net10514,cell,net
net27206,_10172_,net,cell
_10172_,net10513,cell,net
net27200,_10173_,net,cell
_10173_,net10512,cell,net
net27376,_10174_,net,cell
_10174_,net10510,cell,net
net27383,_10175_,net,cell
_10175_,net15320,cell,net
net27213,_10176_,net,cell
_10176_,net14955,cell,net
net32736,_10177_,net,cell
_10177_,net12671,cell,net
net699,_10178_,net,cell
_10178_,net10508,cell,net
net79975,_10179_,net,cell
_10179_,net10507,cell,net
net1166,_1017_,net,cell
_1017_,net1167,cell,net
net30144,_10180_,net,cell
net30133,_10180_,net,cell
net30134,_10180_,net,cell
_10180_,net14100,cell,net
net12521,_10181_,net,cell
net16664,_10181_,net,cell
_10181_,net10429,cell,net
net10428,_10182_,net,cell
net79428,_10182_,net,cell
net10430,_10182_,net,cell
_10182_,net10427,cell,net
net155,_10183_,net,cell
net79471,_10183_,net,cell
_10183_,net10428,cell,net
net79428,_10184_,net,cell
net10430,_10184_,net,cell
_10184_,net10426,cell,net
net79649,_10185_,net,cell
net5342,_10185_,net,cell
_10185_,net10424,cell,net
net5342,_10186_,net,cell
net10899,_10186_,net,cell
_10186_,net5338,cell,net
net3642,_10187_,net,cell
net24078,_10187_,net,cell
_10187_,net10423,cell,net
net23606,_10188_,net,cell
net23630,_10188_,net,cell
net2780,_10188_,net,cell
_10188_,net6153,cell,net
net19126,_10189_,net,cell
_10189_,net14105,cell,net
net742,_1018_,net,cell
_1018_,net3851,cell,net
net30295,_10190_,net,cell
net19421,_10190_,net,cell
_10190_,net19423,cell,net
net22513,_10191_,net,cell
_10191_,net19456,cell,net
net14103,_10192_,net,cell
_10192_,net14104,cell,net
net14101,_10193_,net,cell
net14102,_10193_,net,cell
net30004,_10193_,net,cell
net15262,_10193_,net,cell
_10193_,net14103,cell,net
net13858,_10194_,net,cell
net30238,_10194_,net,cell
_10194_,net14108,cell,net
net15262,_10195_,net,cell
_10195_,net14102,cell,net
net14352,_10196_,net,cell
net13733,_10196_,net,cell
net19553,_10196_,net,cell
net18,_10196_,net,cell
_10196_,net19555,cell,net
net14352,_10197_,net,cell
net14350,_10197_,net,cell
_10197_,net19558,cell,net
net19420,_10198_,net,cell
net15053,_10198_,net,cell
_10198_,net19421,cell,net
