net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
cacc2sdp_pd[0],2320,-1,1,8.822406128607542e-16,0.13010384142398834,0.17509472672827542,49.27763748168945
cacc2sdp_pd[10],3238,-1,1,1.0070107894527992e-15,0.15457073599100113,0.27539805229753256,76.50970458984375
cacc2sdp_pd[11],2728,-1,1,8.416162244961683e-16,0.17758598178625107,0.08698819618439302,67.86410140991211
cacc2sdp_pd[12],12976,-1,1,1.8319552350250755e-15,0.8315025991760194,0.48341131972847506,387.0037167072296
cacc2sdp_pd[13],2938,-1,1,8.820141903660413e-16,0.16015703976154327,0.14481501502450556,74.63930892944336
cacc2sdp_pd[14],1918,-1,1,8.012808331852737e-16,0.08610409498214722,0.13813482783734798,44.366065979003906
cacc2sdp_pd[15],13684,-1,1,2.029424449534944e-15,0.7084689810872078,0.9825969176599756,405.0368413925171
cacc2sdp_pd[16],2002,-1,1,8.0976423872894e-16,0.10486893355846405,0.12785330269252881,45.881134033203125
cacc2sdp_pd[17],2230,-1,1,8.631247733071191e-16,0.11114531755447388,0.17493732180446386,49.99345397949219
cacc2sdp_pd[18],2854,-1,1,9.124939827587176e-16,0.1680985912680626,0.1673532146960497,73.71433639526367
cacc2sdp_pd[19],2002,-1,1,8.782366351795239e-16,0.09808768332004547,0.2031069922959432,46.47122573852539
cacc2sdp_pd[1],2614,-1,1,8.889030563865013e-16,0.2017708718776703,0.110090512316674,54.58036756515503
cacc2sdp_pd[20],2398,-1,1,8.614957701308715e-16,0.14373154938220978,0.14072221564128995,50.737372398376465
cacc2sdp_pd[21],1900,-1,1,7.532570296912703e-16,0.11287157982587814,0.06334342621266842,45.221595764160156
cacc2sdp_pd[22],2728,-1,1,9.597728207756109e-16,0.1328866146504879,0.2498439308255911,67.27400970458984
cacc2sdp_pd[23],2146,-1,1,8.268807099501404e-16,0.10996313393115997,0.13987549347802997,51.08962917327881
cacc2sdp_pd[24],2608,-1,1,9.761909662713594e-16,0.18123938143253326,0.2179095335304737,66.0937671661377
cacc2sdp_pd[25],2878,-1,1,9.222796485192281e-16,0.16143986582756042,0.1837975897360593,75.10237121582031
cacc2sdp_pd[26],1978,-1,1,7.896959106261175e-16,0.09366019815206528,0.11899366229772568,46.03834915161133
cacc2sdp_pd[27],2854,-1,1,9.335695389149439e-16,0.16454587876796722,0.1919817643938586,74.66949653625488
cacc2sdp_pd[28],2554,-1,1,9.399397560738883e-16,0.13359573483467102,0.22930204961448908,64.22102928161621
cacc2sdp_pd[29],2248,-1,1,8.537287956419048e-16,0.11471761390566826,0.16196912771556526,59.79667663574219
cacc2sdp_pd[2],2038,-1,1,8.316564405254378e-16,0.10383782535791397,0.15077696274966002,46.53044891357422
cacc2sdp_pd[30],1882,-1,1,8.08937587511979e-16,0.07931897789239883,0.15257661137729883,43.71675491333008
